,latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
117,39.581553,-104.88214,118,ARROW ELECTRONICS,9201 EAST DRY CREEK ROAD,Centennial,CO,18700,23825,522.8
118,32.89718,-117.19576,119,QUALCOMM,5775 MOREHOUSE DRIVE,San Diego,CA,30500,23554,5705.0
119,41.53704,-81.45156,120,PROGRESSIVE,6300 WILSON MILLS ROAD,Mayfield Village,OH,31721,23441,1031.0
120,35.22391,-80.8481,121,DUKE ENERGY,550 SOUTH TRYON STREET,Charlotte,NC,28798,23369,2152.0
121,29.75765,-95.36883,122,ENTERPRISE PRODUCTS PARTNERS,1100 LOUISIANA STREET,Houston,TX,6800,23022,2513.1
122,34.19201,-118.91968,123,AMGEN,1 AMGEN CENTER DRIVE,Thousand Oaks,CA,19200,22991,7722.0
123,41.9889,-87.85781,124,US FOODS HOLDING,9399 WEST HIGGINS ROAD,Rosemont,IL,25000,22919,209.8
124,44.97559,-93.27387,125,U.S. BANCORP,800 NICOLLET MALL,Minneapolis,MN,71191,22744,5888.0
125,32.46836,-84.96455,126,AFLAC,1932 WYNNTON ROAD,Columbus,GA,10212,22559,2659.0
126,42.08016,-88.22354,127,SEARS HOLDINGS,3333 BEVERLY ROAD,Hoffman Estates,IL,140000,22138,-2221.0
127,36.30908,-86.6993,128,DOLLAR GENERAL,100 MISSION RIDGE,Goodlettsville,TN,121000,21987,1251.1
128,26.12002,-80.14419,129,AUTONATION,200 SW 1ST AVENUE,Fort Lauderdale,FL,26000,21609,430.5
129,35.95185,-86.81122,130,COMMUNITY HEALTH SYSTEMS,4000 MERIDIAN BOULEVARD,Franklin,TN,108000,21374,-1721.0
130,47.58181,-122.33534,131,STARBUCKS,2401 UTAH AVENUE SOUTH,Seattle,WA,254000,21316,2817.7
131,39.75545,-86.15487,132,ELI LILLY,893 SOUTH DELAWARE STREET,Indianapolis,IN,41975,21222,2737.6
132,35.10015,-89.84948,133,INTERNATIONAL PAPER,6400 POPLAR AVENUE,Memphis,TN,55000,21079,904.0
133,32.78485,-96.80259,134,TENET HEALTHCARE,1445 ROSS AVENUE,Dallas,TX,116475,21070,-192.0
134,34.00131,-118.48518,135,ABBOTT LABORATORIES,100 ABBOTT PARK ROAD,Santa Monica,CA,75000,20853,1400.0
135,36.76982,-76.24149,136,DOLLAR TREE,500 VOLVO PARKWAY,Chesapeake,VA,116050,20719,896.2
136,42.14912,-86.44101,137,WHIRLPOOL,2000 NORTH M-63,Benton Harbor,MI,93000,20718,888.0
137,32.84607,-96.86395,138,SOUTHWEST AIRLINES,2702 LOVE FIELD DRIVE,Dallas,TX,53536,20425,2244.0
138,38.73232,-90.28532,139,EMERSON ELECTRIC,8000 WEST FLORISSANT AVENUE,Saint Louis,MO,103500,20268,1635.0
139,42.29132,-71.4901,140,STAPLES,500 STAPLES DRIVE,Framingham,MA,61503,20217,-1497.0
140,29.75729,-95.37175,141,PLAINS GP HOLDINGS,333 CLAY STREET,Houston,TX,5100,20182,94.0
141,42.60254,-83.28796,142,PENSKE AUTOMOTIVE GROUP,2555 TELEGRAPH ROAD,Bloomfield Hills,MI,24000,20143,342.9
142,41.25917,-95.93518,143,UNION PACIFIC,1400 DOUGLAS STREET,Omaha,NE,42919,19941,4233.0
143,38.90158,-77.04905,144,DANAHER,2200 PENNSYLVANIA AVENUE NW,Washington,DC,62000,19912,2553.7
144,33.76434,-84.38826,145,SOUTHERN,30 IVAN ALLEN JR. BOULEVARD NW,Atlanta,GA,32015,19896,2448.0
145,43.0493,-87.91236,146,MANPOWERGROUP,100 MANPOWER PLACE,Milwaukee,WI,28000,19654,443.7
146,40.75775,-73.97242,147,BRISTOL-MYERS SQUIBB,345 PARK AVENUE,New York,NY,25000,19427,4457.0
147,37.60024,-77.51729,148,ALTRIA GROUP,6601 WEST BROAD STREET,Richmond,VA,8300,19337,14239.0
148,32.90331,-96.94971,149,FLUOR,6700 LAS COLINAS BOULEVARD,Irving,TX,61551,19037,281.4
149,43.12196,-88.12328,150,KOHL'S,N56W17000 RIDGEWOOD DRIVE,Menomonee Falls,WI,85000,18686,556.0
150,42.45125,-83.28132,151,LEAR,21557 TELEGRAPH ROAD,Southfield,MI,148400,18558,975.1
151,27.86769,-82.64715,152,JABIL CIRCUIT,10560 DR. MARTIN LUTHER KING,Saint Petersburg,FL,138000,18353,254.1
152,41.77241,-72.68879,153,HARTFORD FINANCIAL SERVICES GROUP,1 HARTFORD PLAZA,Hartford,CT,16900,18300,896.0
153,42.399867,-71.25811,154,THERMO FISHER SCIENTIFIC,168 3RD AVENUE,Waltham,MA,54800,18274,2021.8
154,32.86992,-96.95025,155,KIMBERLY-CLARK,351 PHELPS DRIVE,Irving,TX,42000,18202,2166.0
155,33.7666,-118.20027,156,MOLINA HEALTHCARE,200 OCEANGATE,Long Beach,CA,21000,17782,52.0
156,37.79146,-122.39592,157,PG&E CORP.,77 BEALE STREET,San Francisco,CA,24000,17666,1393.0
157,44.875,-93.41186,158,SUPERVALU,7075 FLYING CLOUD DRIVE,Eden Prairie,MN,38000,17529,178.0
158,39.20402,-85.92326,159,CUMMINS,500 JACKSON STREET,Columbus,IN,55400,17509,1394.0
159,32.58997,-92.06862,160,CENTURYLINK,100 CENTURYLINK DRIVE,Monroe,LA,40000,17470,626.0
160,34.058754,-118.416831,161,AECOM,1999 AVENUE OF THE STARS,Los Angeles,CA,87000,17411,96.1
161,41.14499,-73.42985,162,XEROX,45 GLOVER AVENUE,Norwalk,CT,133600,17126,-477.0
